Company,Job_Title,Location,Seniority_level,Python,SQL,R,Excel,Tableau,Power_BI,Machine_Learning
ISAAC Instruments,Data Scientist,"St-Bruno-de-Montarville, Quebec, Canada",Associate,True,True,False,True,False,False,True
FPT Software,Data Scientist,Canada,Mid-Senior level,True,True,False,False,False,False,True
Ample Insight,Data Scientist - Data Analytics and Infrastructure (remote),"Toronto, Ontario, Canada",Mid-Senior level,True,True,False,False,False,False,False
Zany Consulting Group,Data Scientist,"Toronto, Ontario, Canada",Mid-Senior level,True,False,False,False,False,False,False
ISAAC Instruments,Artificial intelligence (AI) Developer,"St-Bruno-de-Montarville, Quebec, Canada",Associate,True,True,False,False,False,False,True
Outdefine,Data Scientist,Canada,Mid-Senior level,False,False,False,False,False,False,False
Tiger Analytics,Machine Learning Engineer (Canada),"Toronto, Ontario, Canada",Mid-Senior level,True,True,False,True,False,False,True
Tiger Analytics,Machine Learning Engineer (Canada),"Toronto, Ontario, Canada",Mid-Senior level,True,True,False,True,False,False,True
riskthinking.AI,Data Scientist - Climate/Weather,"Toronto, Ontario, Canada",Entry level,True,False,False,True,False,False,True
Sobeys,Data Scientist - EN,"Toronto, Ontario, Canada",Entry level,True,True,False,False,True,False,True
Zortech Solutions,Python/Data Scientist-Canada,"Mississauga, Ontario, Canada",Mid-Senior level,True,False,False,False,False,False,True
Tiger Analytics,Machine Learning Engineer,"Toronto, Ontario, Canada",Mid-Senior level,True,True,False,True,False,False,True
Prenuvo,Machine Learning Engineer,"Vancouver, British Columbia, Canada",Entry level,True,False,False,True,False,False,True
MobSquad,Machine Learning Engineer,"Vancouver, British Columbia, Canada",Mid-Senior level,True,True,False,True,False,False,True
Air Canada,"Data Scientist, Artificial Intelligence","Dorval, Quebec, Canada",Entry level,True,True,False,True,False,False,True
owl.co,Sr Data Scientist,"Toronto, Ontario, Canada",Mid-Senior level,True,True,False,False,False,False,False
Prenuvo,Machine Learning Applied Scientist,"Vancouver, British Columbia, Canada",Mid-Senior level,True,False,False,False,False,False,True
Experfy,Industrial Affairs (IA) Data Scientist,"Toronto, Ontario, Canada",Mid-Senior level,True,True,False,True,True,True,True
Nuvoola AI,AI Scientist,"Québec, Quebec, Canada",Mid-Senior level,True,False,False,True,False,False,True
NTENT,Machine Learning Engineer,"Toronto, Ontario, Canada",Entry level,True,False,False,True,False,False,True
